New York Jets, NYJ, DEF, 0.0
Pittsburgh Steelers, PIT, DEF, 0.0
Miami Dolphins, MIA, DEF, 0.0
Brandon Aubrey, DAL, K, 0.0
Younghoe Koo, ATL, K, 0.0
Buffalo Bills, BUF, DEF, 0.0
Harrison Butker, KC, K, 0.0
Los Angeles Chargers, LAC, DEF, 0.0
New Orleans Saints, NO, DEF, 0.0
Jaleel McLaughlin, DEN, RB, 101.28
Houston Texans, HOU, DEF, 0.0
Luke Musgrave, GB, TE, 92.69
Rico Dowdle, DAL, RB, 110.77
New England Patriots, NE, DEF, 0.0
Jake Elliott, PHI, K, 0.0
MarShawn Lloyd, LAR, RB, 70.0
Seattle Seahawks, SEA, DEF, 0.0
Cincinnati Bengals, CIN, DEF, 0.0
Geno Smith, SEA, QB, 233.04
Noah Fant, SEA, TE, 88.73
Demario Douglas, NE, WR, 123.36
Mike Gesicki, CIN, TE, 72.48
Detroit Lions, DET, DEF, 0.0
Evan McPherson, CIN, K, 0.0
Ka'imi Fairbairn, HOU, K, 0.0
Green Bay Packers, GB, DEF, 0.0
Sam Darnold, GB, QB, 223.65
Will Levis, TEN, QB, 223.65
